SPNWR_ID,Species Confirm,Observer,Located,Beach,FullEXC,When did nest hatch?,NESTFATE,MARKED,DPSTK2,INSITSTN2,Nest Not Found,Nest Washed Out,Observation date,Nest Emerge Observer,Nest Emerge Date,Nest Emerge Time,Nest Excavation Observer,Nest Excavation Date,Nest Excavtion Time,Nest Marker Found,Nest Predated,Predated at Pre-Emergence,Predated at Emergence,Predated at Post Emergence,Predated Unknown,Predated by Cat,Predated by Crab,Predated by Dog,Predated by Mongoose,Predated by Night Heron,Predated by Unknown,Predated by Other,Predation Notes,Number of Turtles Predated,Disorientated Nest,Disorientated Cause,Disorientated Pattern Drawn,Live Hatchlings Aliver Emerged,Emerged Observed,Live Hatchlings Date Released,Live Hatchlings Time Released,Live Hatchlings Release Location,Dead Emerged,Dead Emerged (Dehydrated),Dead Emerged Predated,Dead Emerged Entangled,Dead Emerged Unknown,Dead in Nest Dehydrated,Dead In Nest Predated,Dead In Nest Entangled,Dead In Nest Unknown,Live Hatchlings Alive in Nest,Dead in Nest,Yolkless Eggs,Hatched Shells,Full Term Pipped (Live),Full Term Pipped (Dead),Full Term Unpipped (Live),Full Term Unpipped (Dead),Mid Pig Body,Pre-midterm (pigmented eye),Undeveloped,Unfertilized,Unknown Eggs,Total unhatched,Total eggs,Hatch success (%),Hatched Deformed,Type Deformity,Unhatched Deformed Twins,Unhatched Deformed Albinos,Unhatched Deformed Other,Relocated Nests Number of Eggs Reburied,Relocated Nests Number of Yolkless Reburied,Nest Notes,Unhatched Eggs,HatchlingsSampled,YolklessCollected,GeneticNotes,Genetic Nest ID,TempLogEi,TempLogDc,Substrate,Vegetation Type
33,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,TI,6/18/2011,20:20,"TI, AF, SF",6/21/2011,23:32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,ants at surface,0,FALSE,,FALSE,0,FALSE,6/21/2011,23:49,162,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,1,25,52,1,25,0,11,0,0,7,0,2,46,98,53.06122449,0,,,,,0,0,,,,,,,,,,
36,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,RR,6/16/2011,21:52,SF,6/19/2011,20:30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,6/19/2011,20:45,124,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,0,54,50,1,16,0,0,1,0,7,0,8,33,83,60.24096386,,,,,,0,0,,,,,,,,,,
38,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,CL,6/16/2011,22:45,RW,6/20/2011,20:45,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,35,15,0,0,0,1,1,1,41,0,11,55,70,21.42857143,0,,,,,0,0,,,,,,,,,,
39,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,"RW, JV",6/19/2011,20:21,"RR, SF, AF",6/22/2011,21:20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,yolkless opened; worms in nest,0,FALSE,,FALSE,0,FALSE,6/22/2011,21:38,165,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,3,47,75,0,6,0,1,0,2,18,0,4,31,106,70.75471698,0,,,,,0,0,,,,,,,,,,
46,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,RW,6/17/2011,22:38,"RR, AF",6/21/2011,0:20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,TRUE,,FALSE,1,TRUE,6/21/2011,0:45,168,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,2,3,53,0,4,0,2,0,0,42,0,0,48,101,52.47524752,,,,,,0,0,,,,,,,,,,
47,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,NOAA,6/22/2011,19:16,"AF, RW",6/25/2011,23:20,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,wounds to face and eye of hatchling,0,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,15,34,0,1,0,0,0,0,4,0,1,6,40,85,0,,,,,0,0,,,,,,,,,,
48,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,NOAA,6/26/2011,18:00,RW,6/29/2011,20:40,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,Bad ant infestation; rotten hatchlings at surface,0,FALSE,,FALSE,1,FALSE,,,,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,59,36,0,1,0,0,0,0,2,0,4,7,43,83.72093023,,,,,,0,0,,,,,,,,,,
49,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,NOAA,6/22/2011,19:36,"RW, SF",6/25/2011,21:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,26,42,0,11,0,18,1,3,6,0,4,43,85,49.41176471,0,,,,,0,0,,,,,,,,,,
50,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,"AF, RR",6/20/2011,23:05,RW,6/24/2011,1:55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,1,11,38,1,19,0,3,1,0,5,0,20,49,87,43.67816092,0,,,,,0,0,,,,,,,,,,
51,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,RW,6/21/2011,1:30,CL,6/23/2011,23:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,6/23/2011,23:45,NOAA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,31,82,0,1,0,0,0,0,12,0,1,14,96,85.41666667,0,,,,,0,0,,,,,,,,,,
54,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,,,,"TI, SF, AF",6/30/2011,22:46,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,20,54,0,5,0,1,0,1,14,0,5,26,80,67.5,0,,,,,0,0,75 day nest,,,,,,,,,
57,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,"RR, AF",6/20/2011,21:55,CL,6/23/2011,20:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,TRUE,F'sted light,FALSE,4,TRUE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,5,26,64,0,6,0,4,1,0,8,0,8,27,91,70.32967033,,,,,,0,0,,,,,,,,,,
58,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,,,,"RR, AF",7/1/2011,23:20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,29,68,0,1,0,0,0,0,3,0,3,7,75,90.66666667,0,,,,,0,0,75 day nest; roots in nest,,,,,,,,,
59,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,"RR, RW",6/23/2011,1:00,RW,6/26/2011,0:10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,25,20,0,1,0,0,0,0,20,0,1,22,42,47.61904762,0,,,,,0,0,,,,,,,,,,
61,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,,,,RW,7/1/2011,20:40,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,ants,2,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,2,30,42,0,0,0,0,0,0,4,0,18,22,64,65.625,0,,,,,0,0,75 day nest,,,,,,,,,
62,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,,,,SF,7/1/2011,23:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,ants on top of nest but did not appear predated,0,FALSE,,FALSE,0,FALSE,7/1/2011,23:30,161,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,2,30,55,0,3,0,0,0,0,5,0,5,13,68,80.88235294,0,,,,,0,0,75 day nest,,,,,,,,,
63,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,"AF, SF",6/22/2011,23:21,"AF, TI",6/25/2011,21:38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,maggots,0,FALSE,,FALSE,3,FALSE,6/25/2011,22:31,180,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,2,17,76,0,1,0,2,1,1,11,0,1,17,93,81.72043011,0,,,,,0,0,,,,,,,,,,
64,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,NOAA,6/22/2011,19:23,"SF, RW",6/25/2011,22:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Heavy root presence in nest,0,FALSE,,FALSE,0,FALSE,6/25/2011,22:30,165,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,32,24,0,31,0,1,0,2,4,0,3,41,65,36.92307692,,,,,,0,0,,,,,,,,,,
69,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,,,,AF,7/2/2011,21:47,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,7/2/2011,22:00,144,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,37,39,0,14,0,8,1,0,8,0,10,41,80,48.75,,,,,,0,0,75 day nest,,,,,,,,,
70,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,"RW, JV",6/19/2011,20:40,"AF, SF",6/22/2011,22:55,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,empty eggs with crab rips,6,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,13,9,0,0,0,0,0,1,36,0,2,39,48,18.75,0,,,,,0,0,,,,,,,,,,
71,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,"AF, SF",6/22/2011,22:43,"AF, SF",6/26/2011,0:55,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,59,30,0,1,0,0,0,2,14,0,4,21,51,58.82352941,,,,,,0,0,,,,,,,,,,
73,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,,,,RW,7/2/2011,23:15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,4,58,0,1,0,6,0,0,11,0,22,40,98,59.18367347,0,,,,,0,0,75 day nest,,,,,,,,,
75,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,,,,"SF, RR",7/4/2011,1:50,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,Crab tears on handful of eggs,0,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,18,22,0,12,0,26,14,5,12,0,3,72,94,23.40425532,0,,,,,0,0,75 Day nest,,,,,,,,,
76,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,NOAA,6/23/2011,20:48,"AF, RR",6/26/2011,23:30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,50,TRUE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,6,23,77,0,6,0,2,1,0,8,0,6,23,100,77,,,,,,0,0,,,,,,,,,,
77,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,NOAA,6/25/2011,17:20,TI,6/28/2011,23:41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,25,FALSE,6/29/2011,0:26,181,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,0,56,47,0,8,0,0,1,0,6,0,0,15,62,75.80645161,,,,,,0,0,Roots in nest,,,,,,,,,
78,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,NOAA,6/22/2011,19:53,"TI, RW",6/25/2011,0:20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,6/25/2011,0:45,177,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,40,72,0,1,0,4,1,0,6,0,2,14,86,83.72093023,0,,,,,0,0,,,,,,,,,,
79,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,NOAA,6/24/2011,19:25,"AF, SF",6/27/2011,21:25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,6,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,10,15,0,0,0,1,0,0,36,0,0,37,52,28.84615385,,,,,,0,0,,,,,,,,,,
80,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,NOAA,6/26/2011,17:45,"SF, RR",6/30/2011,1:30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,51,FALSE,6/29/2011,1:50,162,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,16,28,0,0,0,1,0,1,17,0,2,21,49,57.14285714,0,,,,,0,0,Several small roots in nest,,,,,,,,,
82,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,,,,RW,7/4/2011,21:20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,16,40,0,0,0,0,0,0,21,0,13,34,74,54.05405405,0,,,,,0,0,75 Day nest,,,,,,,,,
83,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,NOAA,6/25/2011,18:20,AF,6/29/2011,2:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,1,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,1,26,47,0,18,0,0,1,0,3,0,4,26,73,64.38356164,,,,,,0,0,,,,,,,,,,
85,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,NOAA,6/24/2011,17:40,"RR, SF",7/4/2011,0:10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,48,72,0,0,0,0,0,0,0,0,0,0,72,100,,,,,,0,0,,,,,,,,,,
86,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,NOAA,6/24/2011,,RW,7/6/2011,2:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,45,4,0,0,0,1,0,0,5,0,10,16,20,20,0,,,,,0,0,"NOAA marked as emerged on 6/24, but never received the datasheet for emergence",,,,,,,,,
87,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,NOAA,6/26/2011,18:35,SF,6/29/2011,21:15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,14,FALSE,6/29/2011,23:20,157,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,9,6,15,62,0,38,0,15,1,2,5,0,7,68,130,47.69230769,0,,,,,0,0,,,,,,,,,,
89,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,NOAA,6/27/2011,17:03,AF,6/30/2011,21:21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,1,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,30,71,0,17,0,1,1,0,7,0,0,26,97,73.19587629,,,,,,0,0,,,,,,,,,,
90,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,NOAA,6/22/2011,20:17,"AF, SF",6/26/2011,1:21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,36,23,0,30,0,8,0,7,22,0,3,70,93,24.7311828,0,,,,,0,0,,,,,,,,,,
108,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,RW,5/25/2011,3:13,SF,5/28/2011,4:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,several worms in nest,0,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,4,13,24,0,20,0,2,11,2,16,0,0,51,75,32,,,,,,0,0,,,,,,,,,,
130,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,"SF, AF",5/28/2011,20:20,"RR, SF, AF",6/1/2011,2:25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,TRUE,F'sted lights,FALSE,33,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,10,59,0,2,0,6,3,1,20,0,0,32,91,64.83516484,,,,,,0,0,,,,,,,,,,
137,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,TI,5/31/2011,2:22,"CL, RW",6/2/2011,20:45,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,substantial tracks from veg. line to nest,0,FALSE,,FALSE,0,FALSE,6/2/2011,22:05,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,23,82,0,4,0,0,0,0,6,0,0,10,92,89.13043478,,,,,,0,0,,,,,,,,,,
