Table,SPNWR_ID,SpeciesCode,OriginalTagID,Neophyte,DateOfActivity,Result,DP Stake,InSituStake1,CurvedCarapaceLength_NtoN,CurvedCarapaceWidth
SPNWR,15487,Dc,3063,,4/30/2008,Probable Lay,,150,158.2,117
SPNWR,15568,Dc,3063,,5/10/2008,In Situ,,179,156.7,117
SPNWR,15637,Dc,3063,,5/20/2008,Relocate,,163,157.3,115.9
SPNWR,15865,Dc,3063,,6/13/2008,Dry Run,,147,,
SPNWR,31092,Dc,3063,,4/20/2011,Lay,,147,154,117.2
SPNWR,31186,Dc,3063,,4/28/2011,Lay,,166,152,117.4
SPNWR,31284,Dc,3063,,5/8/2011,Lay,,175,153.9,117
SPNWR,31343,Dc,3063,,5/16/2011,Lay,,160,151.7,116.5
SPNWR,31449,Dc,3063,,5/29/2011,Lay,,182,154.3,118.4
SPNWR,31603,Dc,3063,,6/8/2011,Lay,,151,154.5,117
SPNWR,31646,Dc,3063,,6/19/2011,Lay,,141,154.5,118.5
SPNWR,18268,Dc,3063,,4/24/2014,Lay,,174,154.4,117.5
SPNWR,18331,Dc,3063,,5/3/2014,Lay,,176,155.1,118.2
SPNWR,18433,Dc,3063,,5/23/2014,Track Only,,145,,
SPNWR,18436,Dc,3063,,5/24/2014,Lay,,149,154.3,120.8
SPNWR,18477,Dc,3063,,6/3/2014,Lay,,185,154.6,117.6
SPNWR,18885,Dc,3063,,6/11/2014,Lay,,168,155.5,117.5
SPNWR,18931,Dc,3063,,6/21/2014,Lay,,182,156.4,117.3
SPNWR,18984,Dc,3063,,7/2/2014,Lay,,177,153.4,119.2
SPNWR,19022,Dc,3063,,7/15/2014,Lay,,180,155.4,117.7
SPActivity,7844,Dc,3063,,3/31/2018,Lay,,182,155,119
SPActivity,7857,Dc,3063,,4/12/2018,Lay,,187,155.5,119
SPActivity,7877,Dc,3063,,4/23/2018,Lay,,146,155.4,119
SPActivity,7923,Dc,3063,,5/12/2018,Lay,,155,155,119.5
SPActivity,7898,Dc,3063,,5/2/2018,Lay,,153,156.5,118.4
SPActivity,7949,Dc,3063,,5/24/2018,Dry Run,,169,,
SPActivity,7956,Dc,3063,,5/26/2018,Lay,,,155.4,118
SPActivity,7971,Dc,3063,,6/9/2018,Lay,,167,157,119
SPNWR,2811,Dc,3342,,5/3/2004,In Situ,,110,158.2,118.1
SPNWR,2899,Dc,3342,,5/13/2004,In Situ,,82,158.3,120.4
SPNWR,18923,Dc,3672,,6/18/2014,Lay,,95,153.5,107.2
SPNWR,5781,Dc,60987,,6/9/1987,Relocate,,92,153,108
SPNWR,3794,Dc,26113356,,5/19/2005,Dry Run,,164,,
SPNWR,3802,Dc,26113356,,5/21/2005,In Situ,,178,152.2,109.1
SPNWR,3875,Dc,26113356,,5/29/2005,In Situ,,168,149.7,107.2
SPNWR,15633,Dc,26113356,,5/19/2008,In Situ,,173,152.2,107.6
SPNWR,15844,Dc,26113356,,6/10/2008,Probable Lay,,105,,
SPNWR,15887,Dc,26113356,,6/18/2008,Dry Run,,155,,
SPNWR,14829,Dc,29262380,,5/27/2007,In Situ,,177,149.2,107.6
SPNWR,14951,Dc,29262380,,6/5/2007,In Situ,,168,149.2,115
SPNWR,15025,Dc,29262380,,6/14/2007,In Situ,,181,148.5,105.5
SPNWR,15107,Dc,29262380,,6/23/2007,Relocate,,166,157,112
SPNWR,15194,Dc,29262380,,7/4/2007,In Situ,,175,148,105.9
SPNWR,16869,Dc,29275057,,5/5/2009,Relocate,,165,151.8,109.6
SPNWR,16870,Dc,29275057,,5/13/2009,In Situ,,182,153.5,110
SPNWR,17075,Dc,29275057,,5/29/2009,In Situ,,184,152.5,107.9
SPNWR,17201,Dc,29275057,,6/8/2009,In Situ,,169,154.2,109.4
SPNWR,1152,Dc,29286278,,4/9/2003,Relocate,,172,156,117.2
SPNWR,1261,Dc,29286278,,4/20/2003,In Situ,,205,156.6,117
SPNWR,1384,Dc,29286278,,5/9/2003,Relocate,,,,
SPNWR,1399,Dc,29286278,,5/18/2003,Relocate,,146,157.9,117.3
SPNWR,2008,Dc,29286278,,5/28/2003,Track Only,,,,
SPNWR,2013,Dc,29286278,,5/28/2003,Dry Run,,147,,
SPNWR,2017,Dc,29286278,,5/28/2003,Relocate,,159,156,106
SPNWR,2185,Dc,29286278,,6/6/2003,In Situ,,174,155.8,115.4
SPNWR,2349,Dc,29286278,,6/20/2003,In Situ,,169,156.5,112
SPNWR,2443,Dc,29286278,,6/29/2003,Dry Run,,171,,
SPNWR,2446,Dc,29286278,,6/29/2003,Relocate,,162,171,130
SPNWR,2496,Dc,29286278,,7/11/2003,In Situ,,115,155.5,116
SPNWR,3554,Dc,29286278,,4/30/2005,Relocate,,160,153.8,116
SPNWR,3832,Dc,29286278,,5/26/2005,Dry Run,,173,,
SPNWR,3862,Dc,29286278,,5/28/2005,Relocate,,168,153.5,114.5
SPNWR,3716,Dc,29286278,,6/7/2005,Dry Run,,161,,
SPNWR,3971,Dc,29286278,,6/7/2005,Relocate,,153,156.4,116
SPNWR,4068,Dc,29286278,,6/18/2005,In Situ,,96,155,116.7
SPNWR,15348,Dc,29286278,,4/12/2008,Probable Lay,,163,,
SPNWR,15412,Dc,29286278,,4/21/2008,In Situ,,176,157.7,116.3
SPNWR,15497,Dc,29286278,,4/30/2008,In Situ,,170,157.6,116.3
SPNWR,15561,Dc,29286278,,5/9/2008,In Situ,,177,157.5,115.7
SPNWR,15630,Dc,29286278,,5/19/2008,In Situ,,163,157.7,105.9
SPNWR,15815,Dc,29286278,,6/4/2008,In Situ,,179,158.3,116.6
SPNWR,15863,Dc,29286278,,6/13/2008,Relocate,,163,157.9,116.5
SPNWR,31156,Dc,29286278,,4/23/2011,Lay,,178,158.7,117
SPNWR,16872,Dc,29288890,,4/12/2009,In Situ,,168,157,115.5
SPNWR,1723,Dc,40849379,,5/14/2003,Dry Run,,191,,
SPNWR,1731,Dc,40849379,,5/15/2003,Relocate,,163,,
SPNWR,1935,Dc,40849379,,5/24/2003,In Situ,,183,155,111
SPNWR,2094,Dc,40849379,,6/1/2003,In Situ,,181,,
SPNWR,2425,Dc,40849379,,6/26/2003,In Situ,,180,156.6,111.5
SPNWR,14174,Dc,40849379,,4/7/2007,In Situ,,165,157.7,117
SPNWR,14296,Dc,40849379,,4/18/2007,In Situ,,176,156.4,113.2
SPNWR,14439,Dc,40849379,,5/1/2007,In Situ,,180,158.2,115.6
SPNWR,14578,Dc,40849379,,5/11/2007,Dry Run,,164,,
SPNWR,14582,Dc,40849379,,5/12/2007,In Situ,,185,158,112
SPNWR,14772,Dc,40849379,,5/24/2007,In Situ,,163,160,110.3
SPNWR,14924,Dc,40849379,,6/2/2007,In Situ,,175,158,114.5
SPNWR,15026,Dc,40849379,,6/14/2007,In Situ,,181,157,110.5
SPNWR,15108,Dc,40849379,,6/22/2007,In Situ,,178,159,117.5
SPNWR,15179,Dc,40849379,,7/3/2007,Dry Run,,,,
SPNWR,15190,Dc,40849379,,7/4/2007,Dry Run,,147,,
SPNWR,15334,Dc,55889047,,4/10/2008,In Situ,,181,140.3,104.5
SPNWR,15406,Dc,55889047,,4/20/2008,Relocate,,191,141.3,103.2
SPNWR,15516,Dc,55889047,,5/4/2008,In Situ,,188,141,104.1
SPNWR,15689,Dc,55889047,,5/27/2008,Relocate,,157,140,
SPNWR,15829,Dc,55889047,,6/7/2008,Dry Run,,157,,
SPNWR,15834,Dc,55889047,,6/7/2008,Relocate,,150,140.6,103.7
SPNWR,17963,Dc,55889047,,5/25/2010,Relocate,,158,141.3,104
SPNWR,32506,Dc,55889047,,4/19/2012,Lay,,175,142.3,104.9
SPNWR,32561,Dc,55889047,,4/29/2012,Lay,,143,142.4,104.9
SPNWR,32622,Dc,55889047,,5/9/2012,Lay,,178,143.2,105.5
SPNWR,32642,Dc,55889047,,5/19/2012,Lay,,177,143.1,
SPNWR,32669,Dc,55889047,,5/27/2012,Lay,,167,142.3,106
SPNWR,23601,Dc,55889047,,6/4/2012,Lay,,150,142.4,105.5
SPNWR,23857,Dc,55889047,,6/14/2012,Lay,,169,142.5,104
SPNWR,23618,Dc,55889047,,6/24/2012,Dry Run,,162,,
SPNWR,23625,Dc,55889047,,6/24/2012,Dry Run,,173,,
SPNWR,23651,Dc,55889047,,6/25/2012,Lay,,180,144,104.2
SPNWR,23673,Dc,55889047,,7/9/2012,Lay,,166,142.8,104.2
SPNWR,29342,Dc,55889047,,5/28/2014,Lay,,85,143.5,106
SPNWR,18492,Dc,55889047,,6/5/2014,Lay,,195,143,107
SPNWR,19019,Dc,55889047,,7/13/2014,Lay,,181,142.3,104.4
SPNWR,19262,Dc,55889047,,5/3/2015,Lay,,201,142.5,106
SPNWR,19343,Dc,55889047,,5/12/2015,Lay,,177,144,105
SPNWR,18533,Dc,55889047,,5/22/2015,Lay,,196,,
SPNWR,19418,Dc,55889047,,6/2/2015,Lay,,193,,106.5
SPNWR,19467,Dc,55889047,,6/9/2015,Track Only,,,,
SPNWR,18547,Dc,55889047,,6/10/2015,Lay,,200,142.4,105.5
SPNWR,20656,Dc,55889047,,6/19/2015,Lay,,177,143.6,106
SPNWR,20507,Dc,55889047,,6/30/2015,Probable Lay,,,,
SPNWR,16865,Dc,126433510A,,4/15/2009,Relocate,,175,153.9,112.7
SPNWR,16864,Dc,126433510A,,4/25/2009,In Situ,,170,153.5,111.5
SPNWR,15432,Dc,132126640A,,4/23/2008,In Situ,,74,139.4,107.1
SPNWR,15503,Dc,132126640A,,5/1/2008,In Situ,,78,,
SPNWR,16866,Dc,132279270A,,5/6/2009,In Situ,,174,146.2,110
SPNWR,16867,Dc,132279270A,,5/16/2009,Relocate,,150,145.5,109
SPNWR,17063,Dc,132279270A,,5/28/2009,In Situ,,178,145.9,109.8
SPNWR,17197,Dc,132279270A,,6/8/2009,In Situ,,182,135.1,108.9
SPNWR,17314,Dc,132279270A,,6/19/2009,In Situ,,182,146.7,111.2
SPNWR,16846,Dc,133126296A,,5/15/2009,Relocate,,143,140.6,109.5
SPNWR,17175,Dc,133126296A,,6/6/2009,In Situ,,146,140.6,109.1
SPNWR,17306,Dc,133126296A,,6/18/2009,Relocate,,148,141.2,109
SPNWR,17403,Dc,133126296A,,7/11/2009,Relocate,,146,140.5,110.6
SPNWR,17416,Dc,133126296A,,7/22/2009,Probable Lay,,149,140.4,110.1
SPNWR,19211,Dc,151611506A,yes,4/25/2015,Lay,,176,,
SPNWR,18543,Dc,151611506A,,6/9/2015,Lay,,196,150.4,113.3
SPNWR,20653,Dc,151611506A,,6/19/2015,Lay,,201,150,113.5
SPActivity,40915,Dc,151611506A,,4/12/2023,Lay,,209,154,118.1
SPActivity,21633,Dc,151611506A,,4/17/2021,Lay,,179,151,115
SPActivity,40920,Dc,151611506A,,4/22/2023,Lay,,157,153.5,118.8
SPActivity,21622,Dc,151611506A,,4/5/2021,Lay,,165,151.1,115.4
SPActivity,21649,Dc,151611506A,,5/1/2021,Lay,,177,150.5,114.6
SPActivity,21664,Dc,151611506A,,5/14/2021,Lay,,181,149.3,114.7
SPActivity,40919,Dc,151611506A,,5/2/2023,Lay,,154,,
SPActivity,21799,Dc,151611506A,,6/4/2021,Lay,,174,150.5,115.2
SPNWR,19318,Dc,151615140A,yes,5/10/2015,Lay,,,150.5,106
SPNWR,18535,Dc,151615140A,,5/23/2015,Lay,,181,150,104.5
SPNWR,19442,Dc,151615140A,,6/4/2015,Lay,,196,151.5,106
SPNWR,20646,Dc,151615140A,,6/18/2015,Lay,,,152.5,104.8
SPActivity,21631,Dc,151615140A,,4/13/2021,Lay,,141,153.4,108.1
SPActivity,21621,Dc,151615140A,,4/2/2021,Lay,,173,152.5,110
SPActivity,21640,Dc,151615140A,,4/23/2021,Lay,,162,152.3,108.2
SPNWR,9192,Dc,AAB401,,5/7/1997,In Situ,,177,146.9,106
SPNWR,17578,Dc,AAB401,,5/15/1997,Dry Run,,176,,
SPNWR,9302,Dc,AAB401,,5/17/1997,Relocate,,158,147.9,104.5
SPNWR,9422,Dc,AAB401,,5/26/1997,Relocate,,159,146.3,106.2
SPNWR,9589,Dc,AAB401,,6/4/1997,Relocate,,160,166.5,105.8
SPNWR,9712,Dc,AAB401,,6/13/1997,In Situ,,179,,
SPNWR,9797,Dc,AAB401,,6/23/1997,Relocate,,170,148,106.2
SPNWR,9863,Dc,AAB401,,7/3/1997,In Situ,,178,147.6,106.5
SPNWR,10288,Dc,AAB401,,4/11/1999,In Situ,,178,,
SPNWR,10386,Dc,AAB401,,4/22/1999,In Situ,,181,148.3,107.1
SPNWR,10322,Dc,AAB401,,5/2/1999,In Situ,,190,148.5,106.3
SPNWR,10578,Dc,AAB401,,5/10/1999,In Situ,,189,,
SPNWR,10677,Dc,AAB401,,5/19/1999,In Situ,,183,,
SPNWR,10862,Dc,AAB401,,5/30/1999,In Situ,,167,148.3,108
SPNWR,10907,Dc,AAB401,,6/8/1999,Relocate,,164,149.9,107
SPNWR,10983,Dc,AAB401,,6/17/1999,In Situ,,162,148.3,106.6
SPNWR,10724,Dc,AAB401,,6/26/1999,Probable Lay,,188,,
SPNWR,11113,Dc,AAB401,,7/7/1999,In Situ,,172,,
SPNWR,204,Dc,AAB401,,4/9/2002,In Situ,,118,149.2,106.4
SPNWR,313,Dc,AAB401,,4/19/2002,Relocate,,156,144,103
SPNWR,420,Dc,AAB401,,4/30/2002,In Situ,,171,149.5,105.2
SPNWR,604,Dc,AAB401,,5/17/2002,Relocate,,120,149,107.5
SPNWR,765,Dc,AAB401,,5/26/2002,Dry Run,,195,,
SPNWR,615,Dc,AAB401,,5/28/2002,Dry Run,,180,,
SPNWR,813,Dc,AAB401,,5/30/2002,In Situ,,135,150,107.5
SPNWR,889,Dc,AAB401,,6/7/2002,Relocate,,87,,
SPNWR,963,Dc,AAB401,,6/17/2002,In Situ,,119,150.05,106.8
SPNWR,1049,Dc,AAB401,,7/1/2002,Relocate,,152,149.1,107.3
SPNWR,9784,Dc,AAB403,,6/22/1997,In Situ,,185,166.5,122.2
SPNWR,9906,Dc,AAB403,,7/21/1997,In Situ,,183,167.4,121.7
SPNWR,9217,Dc,AAB406,,5/9/1997,In Situ,,176,149,106.8
SPNWR,9340,Dc,AAB406,,5/19/1997,In Situ,,95,,
SPNWR,9475,Dc,AAB406,,5/28/1997,Dry Run,,0,,
SPNWR,9495,Dc,AAB406,,5/29/1997,In Situ,,193,147.5,108
SPNWR,9547,Dc,AAB406,,6/7/1997,Dry Run,,0,,
SPNWR,9654,Dc,AAB406,,6/8/1997,Dry Run,,177,,
SPNWR,9665,Dc,AAB406,,6/9/1997,In Situ,,192,150,100.7
SPNWR,9763,Dc,AAB406,,6/20/1997,Dry Run,,0,,
SPNWR,9774,Dc,AAB406,,6/21/1997,In Situ,,178,149.3,107.2
SPNWR,11934,Dc,AAB406,,4/6/2001,In Situ,,177,156.6,113.4
SPNWR,12018,Dc,AAB406,,4/16/2001,In Situ,,197,156,113.5
SPNWR,12126,Dc,AAB406,,4/25/2001,In Situ,,165,155.7,115
SPNWR,12273,Dc,AAB406,,5/4/2001,In Situ,,192,156.3,113
SPNWR,12451,Dc,AAB406,,5/14/2001,In Situ,,193,155.9,113.7
SPNWR,12600,Dc,AAB406,,5/22/2001,In Situ,,197,156.3,114
SPNWR,12833,Dc,AAB406,,6/1/2001,Dry Run,,155,,
SPNWR,12834,Dc,AAB406,,6/1/2001,Relocate,,171,156.3,113.2
SPNWR,2595,Dc,AAB406,,4/9/2004,Relocate,,189,157,115
SPNWR,2668,Dc,AAB406,,4/19/2004,Relocate,,163,156.7,115.4
SPNWR,2768,Dc,AAB406,,5/1/2004,Probable Lay,,168,,
SPNWR,2886,Dc,AAB406,,5/11/2004,In Situ,,167,157.5,114.5
SPNWR,3089,Dc,AAB406,,6/4/2004,In Situ,,178,156.5,125.3
SPNWR,3150,Dc,AAB406,,6/19/2004,Dry Run,,170,,
SPNWR,3173,Dc,AAB406,,6/30/2004,Dry Run,,173,,
SPNWR,3181,Dc,AAB406,,7/2/2004,Track Only,,189,,
SPNWR,15407,Dc,AAB406,,4/20/2008,In Situ,,192,157.9,115.3
SPNWR,15494,Dc,AAB406,,4/30/2008,In Situ,,192,158.1,115.1
SPNWR,15569,Dc,AAB406,,5/10/2008,In Situ,,181,159,116
SPNWR,15638,Dc,AAB406,,5/20/2008,Relocate,,165,157.2,115.7
SPNWR,17772,Dc,AAB406,,4/23/2010,In Situ,,175,158.7,117.4
SPNWR,17835,Dc,AAB406,,5/4/2010,In Situ,,179,158.4,116.8
SPNWR,17892,Dc,AAB406,,5/14/2010,In Situ,,179,157.9,116.2
SPNWR,17954,Dc,AAB406,,5/25/2010,In Situ,,170,159,116.5
SPNWR,17996,Dc,AAB406,,6/3/2010,Relocate,,161,158.4,115.6
SPNWR,18088,Dc,AAB406,,6/13/2010,Relocate,,165,156.9,118.5
SPNWR,18133,Dc,AAB406,,6/23/2010,Relocate,,152,158.9,115.2
SPNWR,18173,Dc,AAB406,,7/3/2010,,,165,157.2,116.1
SPNWR,69,Dc,AAB406,,4/9/2014,Lay,,180,165.5,115.9
SPNWR,18248,Dc,AAB406,,4/20/2014,Lay,,178,160.5,116.4
SPNWR,18322,Dc,AAB406,,4/30/2014,Lay,,192,160.4,116.8
SPNWR,18391,Dc,AAB406,,5/11/2014,Lay,,190,161.6,118
SPNWR,141,Dc,AAB406,,5/25/2014,Lay,,194,159.5,116.9
SPNWR,18910,Dc,AAB406,,6/15/2014,Lay,,191,162.2,116.5
SPNWR,18943,Dc,AAB406,,6/24/2014,Lay,174.4,,159.8,118.5
SPNWR,18994,Dc,AAB406,,7/5/2014,Lay,,176,159,116.5
SPNWR,9508,Dc,AAB407,,5/30/1997,In Situ,,185,156.9,113.1
SPNWR,9640,Dc,AAB407,,6/7/1997,Relocate,,169,,
SPNWR,9378,Dc,AAB409,,5/23/1997,Relocate,,163,145.7,103.7
SPNWR,9535,Dc,AAB409,,6/2/1997,In Situ,,171,145.9,104.5
SPNWR,9552,Dc,AAB409,,6/11/1997,Relocate,,165,144.9,104.3
SPNWR,9785,Dc,AAB409,,6/22/1997,In Situ,,188,145.1,104.4
SPNWR,9859,Dc,AAB409,,7/3/1997,In Situ,,189,145.2,103.5
SPNWR,9891,Dc,AAB409,,7/13/1997,Relocate,,163,146.2,104.4
SPNWR,11921,Dc,AAB409,,4/5/2001,In Situ,,165,149.5,107.2
SPNWR,12012,Dc,AAB409,,4/15/2001,In Situ,,205,,
SPNWR,12116,Dc,AAB409,,4/25/2001,In Situ,,198,149.5,107
SPNWR,12287,Dc,AAB409,,5/5/2001,In Situ,,172,149.5,107.6
SPNWR,12473,Dc,AAB409,,5/15/2001,In Situ,,201,,
SPNWR,12676,Dc,AAB409,,5/24/2001,In Situ,,172,149.5,107.6
SPNWR,12863,Dc,AAB409,,6/5/2001,Dry Run,,105,,
SPNWR,12865,Dc,AAB409,,6/6/2001,Relocate,,146,149,110
SPNWR,12639,Dc,AAB409,,6/19/2001,Relocate,,149,148.5,106.5
SPNWR,12986,Dc,AAB409,,7/1/2001,In Situ,,179,150,109
SPNWR,13063,Dc,AAB409,,7/13/2001,In Situ,,167,,
SPNWR,2579,Dc,AAB409,,4/7/2004,In Situ,,172,149.6,108.7
SPNWR,2653,Dc,AAB409,,4/18/2004,In Situ,,82,150.4,109
SPNWR,2750,Dc,AAB409,,4/28/2004,In Situ,,174,150,109
SPNWR,2868,Dc,AAB409,,5/10/2004,Dry Run,,166,,
SPNWR,2876,Dc,AAB409,,5/10/2004,Relocate,,158,,
SPNWR,3033,Dc,AAB409,,5/29/2004,Relocate,,162,148.9,109.3
SPNWR,3129,Dc,AAB409,,6/11/2004,Relocate,,82,150.1,109
SPNWR,3161,Dc,AAB409,,6/22/2004,Relocate,,167,151,108.5
SPNWR,3183,Dc,AAB409,,7/2/2004,Dry Run,,171,,
SPNWR,14434,Dc,AAB409,,5/1/2007,In Situ,,173,150.1,109.4
SPNWR,14601,Dc,AAB409,,5/13/2007,In Situ,,186,151,109.5
SPNWR,14747,Dc,AAB409,,5/22/2007,In Situ,,170,151.6,109
SPNWR,14899,Dc,AAB409,,5/31/2007,In Situ,,166,150.5,112
SPNWR,14982,Dc,AAB409,,6/9/2007,In Situ,,179,152,109.5
SPNWR,15063,Dc,AAB409,,6/18/2007,In Situ,,190,151.5,109
SPNWR,15145,Dc,AAB409,,6/28/2007,Probable Lay,,183,151.9,108.8
SPNWR,15203,Dc,AAB409,,7/8/2007,Relocate,,157,151,109.5
SPNWR,16335,Dc,AAB409,,4/8/2009,Relocate,,,152.5,110.1
SPNWR,16489,Dc,AAB409,,4/20/2009,Relocate,,157,152,109.3
SPNWR,16639,Dc,AAB409,,4/30/2009,Relocate,,146,151.5,109.1
SPNWR,16805,Dc,AAB409,,5/12/2009,In Situ,,185,152,109.5
SPNWR,16955,Dc,AAB409,,5/22/2009,In Situ,,186,151.9,109.4
SPNWR,17103,Dc,AAB409,,6/1/2009,In Situ,,178,151.5,108.5
